trampa_ID_unico,Acari incertae sedis,Aedes taeniorhynchus,Aymaria conica,Blapstinus sp.,Blattidae incertae sedis,Blattodea incertae sedis,Calosoma granatense,Camponotus conspicuus zonatus,Camponotus sp.,Clogmia sp.,Collembola incertae sedis,Cyclophora impudens,Cycloptilum erraticum,Cycloptilum sp.,Diapriidae incertae sedis,Dipropus puberulus,Dohrniphora cornuta,Epipsocus sp,Gamasomorpha sp.,Gryllus sp.,Holocompsa nitidula,Incertae sedis 2,Lachesilla sp.,Lasioderma serricorne,Lepidopsocidae incertae sedis,Linyphiidae incertae sedis,Liposcelididae incertae sedis,Liposcelis entomophila,Megaselia scalaris,Megaselia sp.,Modisimus sp.,Monomorium floricola,Neocleobis solitarius,Oecobius concinnus,Periplaneta americana,Periplaneta australiasea,Phalacrus darwini,Physocyclus globosus,Porcellio laevis,Porcellionides pruinosus,Psocoptera incertae sedis,Psycnoscelus surinamensis,Sarcophagidae incertae sedis,Sciara sp.,Scolopendra galapagoensis,Symploce pallens,Tapinoma melanocephalum,Xyleborus spinulosus,fecha_puesta,fecha_recogida,dias_monitoreo,periodo_monitoreo,monitoreo,tipo_trampa,marca_trampa,ubicacion
1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,5,0,0,0,0,0,0,2017-05-11,2017-12-11,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.ampliacion
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0,2,0,0,0,0,0,0,2017-05-11,2017-12-11,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.ampliacion
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,2017-05-11,2017-12-11,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.ampliacion
4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2017-05-11,2017-12-11,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.central
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2017-05-11,2017-12-11,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.central
6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017-05-11,2017-12-11,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.entrada
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-11,2017-12-11,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.entrada
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2017-12-11,2018-07-11,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,56,0,6,0,0,0,0,0,0,2017-12-11,2018-07-11,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,2017-12-11,2018-07-11,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
