trampa_ID_unico,temp_mean,temp_max,temp_min,temp_sd,temp_se,hum_mean,hum_max,hum_min,hum_sd,hum_se,fecha_puesta,fecha_recogida,dias_monitoreo,periodo_monitoreo,monitoreo,tipo_trampa,marca_trampa,ubicacion,year
1,20.51149425,24,16,1.488835157,0.112868302,48.36781609,61,34,4.596090177,0.348428697,5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.ampliacion,2017
2,20.51149425,24,16,1.488835157,0.112868302,48.36781609,61,34,4.596090177,0.348428697,5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.ampliacion,2017
3,20.51149425,24,16,1.488835157,0.112868302,48.36781609,61,34,4.596090177,0.348428697,5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.ampliacion,2017
4,20.51149425,24,16,1.488835157,0.112868302,48.36781609,61,34,4.596090177,0.348428697,5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.central,2017
5,20.51149425,24,16,1.488835157,0.112868302,48.36781609,61,34,4.596090177,0.348428697,5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.central,2017
6,20.51149425,24,16,1.488835157,0.112868302,48.36781609,61,34,4.596090177,0.348428697,5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.entrada,2017
7,20.51149425,24,16,1.488835157,0.112868302,48.36781609,61,34,4.596090177,0.348428697,5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,Zona.entrada,2017
8,21.1,25,17,1.498125061,0.114900947,41.11764706,57,28,5.683801888,0.435927705,12/11/2017,7/11/2018,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion,2018
9,21.1,25,17,1.498125061,0.114900947,41.11764706,57,28,5.683801888,0.435927705,12/11/2017,7/11/2018,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion,2018
10,21.1,25,17,1.498125061,0.114900947,41.11764706,57,28,5.683801888,0.435927705,12/11/2017,7/11/2018,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion,2018
