fecha_puesta,fecha_recogida,dias_monitoreo,periodo_monitoreo,monitoreo,tipo_trampa,marca_trampa,num_trampa_monitoreo,trampa_ID_unico,trampa_ID,ubicacion,orden,familia,especie,abundancia_trampa,especies_monitoreo,num_especies_monitoreo,abundancia_monitoreo,temp_mean,temp_sd,temp_se,hum_mean,hum_sd,hum_se
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,3,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,2,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,4,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,3,3,may-dic-2017.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,2,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,4,4,may-dic-2017.Adhesiva.suelo.Zona.central4,Zona.central,Araneae,Pholcidae,Aymaria conica,2,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,6,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Pholcidae,Aymaria conica,2,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,7,7,may-dic-2017.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Pholcidae,Aymaria conica,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Hymenoptera,Formicidae,Camponotus sp.,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Orthoptera,Gryllidae,Gryllus sp.,2,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,5,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Orthoptera,Gryllidae,Gryllus sp.,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Linyphiidae,Linyphiidae incertae sedis,2,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,5,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,6,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,7,7,may-dic-2017.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,2,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Blattodea,Blattidae,Periplaneta australiasea,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,60,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,2,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,45,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,3,3,may-dic-2017.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,12,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,4,4,may-dic-2017.Adhesiva.suelo.Zona.central4,Zona.central,Isopoda,Porcellionidae,Porcellionides pruinosus,4,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,5,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Isopoda,Porcellionidae,Porcellionides pruinosus,5,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,6,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Isopoda,Porcellionidae,Porcellionides pruinosus,1,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,5,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,2,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,2,23,7,159,20.51149425,1.488835157,0.112868302,48.36781609,4.596090177,0.348428697
