fecha_puesta,fecha_recogida,dias_monitoreo,periodo_monitoreo,monitoreo,tipo_trampa,marca_trampa,num_trampa,trampa_ID_unico,trampa_ID,ubicacion,orden,familia,especie,abundancia_trampa,especies_monitoreo,num_especies_monitoreo,abundancia_monitoreo
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,3,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,2,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,4,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,3,3,may-dic-2017.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,2,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,4,4,may-dic-2017.Adhesiva.suelo.Zona.central4,Zona.central,Araneae,Pholcidae,Aymaria conica,2,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,6,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Pholcidae,Aymaria conica,2,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,7,7,may-dic-2017.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Pholcidae,Aymaria conica,1,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Hymenoptera,Formicidae,Camponotus sp.,1,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Orthoptera,Gryllidae,Gryllus sp.,2,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,5,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Orthoptera,Gryllidae,Gryllus sp.,1,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,1,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Linyphiidae,Linyphiidae incertae sedis,2,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,5,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,6,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,7,159
5/11/2017,12/11/2017,214,may-dic-2017,1,Adhesiva.suelo,Insect Monitor,7,7,may-dic-2017.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,7,159
