Date,Fecha,Dia,Temperatura (entrada),Temperatura (zona ampliación),Humedad (entrada),Humedad (zona ampliación),Year,Monitoreo
1,2-Jan-12,Lunes,24,NA,31,NA,2012,
2,3-Jan-12,Martes,23,NA,33,NA,2012,
3,4-Jan-12,Miércoles,22,NA,33,NA,2012,
4,5-Jan-12,Jueves,22,NA,33,NA,2012,
5,6-Jan-12,Viernes,22,NA,33,NA,2012,
6,9-Jan-12,Lunes,22,NA,33,NA,2012,
7,10-Jan-12,Martes,22,NA,34,NA,2012,
8,11-Jan-12,Miércoles,22,NA,33,NA,2012,
9,12-Jan-12,Jueves,22,NA,33,NA,2012,
10,13-Jan-12,Viernes,22,NA,35,NA,2012,
11,16-Jan-12,Lunes,26,NA,30,NA,2012,
12,17-Jan-12,Martes,22,NA,32,NA,2012,
13,18-Jan-12,Miércoles,24,NA,32,NA,2012,
14,19-Jan-12,Jueves,26,NA,32,NA,2012,
15,20-Jan-12,Viernes,22,NA,40,NA,2012,
16,23-Jan-12,Lunes,26,NA,30,NA,2012,
17,24-Jan-12,Martes,28,NA,28,NA,2012,
18,25-Jan-12,Miércoles,27,NA,29,NA,2012,
19,26-Jan-12,Jueves,27,NA,28,NA,2012,
20,27-Jan-12,Viernes,24,NA,29,NA,2012,
21,30-Jan-12,Lunes,20,NA,29,NA,2012,
22,31-Jan-12,Martes,22,NA,31,NA,2012,
23,1-Feb-12,Miércoles,22,NA,31,NA,2012,
24,2-Feb-12,Jueves,23,NA,32,NA,2012,
25,3-Feb-12,Viernes,23,NA,32,NA,2012,
26,6-Feb-12,Lunes,24,NA,32,NA,2012,
27,7-Feb-12,Martes,24,NA,32,NA,2012,
28,8-Feb-12,Miércoles,22,NA,33,NA,2012,
29,9-Feb-12,Jueves,21,NA,33,NA,2012,
30,10-Feb-12,Viernes,25,NA,32,NA,2012,
31,13-Feb-12,Lunes,23,NA,33,NA,2012,
32,14-Feb-12,Martes,24,NA,32,NA,2012,
33,15-Feb-12,Miércoles,25,NA,33,NA,2012,
34,16-Feb-12,Jueves,22,NA,31,NA,2012,
35,17-Feb-12,Viernes,23,NA,33,NA,2012,
36,20-Feb-12,Lunes,,NA,,NA,2012,
37,21-Feb-12,Martes,,NA,,NA,2012,
38,22-Feb-12,Miércoles,23,NA,33,NA,2012,
39,23-Feb-12,Jueves,23,NA,33,NA,2012,
40,24-Feb-12,Viernes,23,NA,33,NA,2012,
41,27-Feb-12,Lunes,23,NA,33,NA,2012,
42,28-Feb-12,Martes,23,NA,33,NA,2012,
43,29-Feb-12,Miércoles,23,NA,33,NA,2012,
44,1-Mar-12,Jueves,23,NA,34,NA,2012,
