fecha,tiempo,year,days,season,trampa,num_trampa,ubicacion,herbario,familia,nombre_cientifico,cantidad,especies_monitoreo,individuos_monitoreo,temperatura_media,humedad_media,,
mayo-diciembre/2017,1,2017,245,,Insect Monitor,1,Herbario (Ampliación),Ampliación,Pholcidae,Aymaria conica,3,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,2,Herbario (Ampliación),Ampliación,Pholcidae,Aymaria conica,4,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,3,Herbario (Ampliación),Ampliación,Pholcidae,Aymaria conica,2,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,4,Herbario (Central),Central,Pholcidae,Aymaria conica,2,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,6,Herbario (entrada),Entrada,Pholcidae,Aymaria conica,2,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,7,Herbario (entrada),Entrada,Pholcidae,Aymaria conica,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,1,Herbario (Ampliación),Ampliación,Formicidae,Camponotus sp,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,1,Herbario (Ampliación),Ampliación,Gryllidae,Gryllus sp,2,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,5,Herbario (Central),Central,Gryllidae,Gryllus sp,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,2,Herbario (Ampliación),Ampliación,Blattidae,Periplaneta australasiae  ,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,1,Herbario (Ampliación),Ampliación,Porcellionidae,Porcellionides pruinosus,60,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,2,Herbario (Ampliación),Ampliación,Porcellionidae,Porcellionides pruinosus,45,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,3,Herbario (Ampliación),Ampliación,Porcellionidae,Porcellionides pruinosus,12,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,4,Herbario (Central),Central,Porcellionidae,Porcellionides pruinosus,4,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,5,Herbario (Central),Central,Porcellionidae,Porcellionides pruinosus,5,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,6,Herbario (entrada),Entrada,Porcellionidae,Porcellionides pruinosus,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,1,Herbario (Ampliación),Ampliación,Blaberidae,Pycnoscelus surinamensis,5,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,2,Herbario (Ampliación),Ampliación,Blaberidae,Pycnoscelus surinamensis,2,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,3,Herbario (Ampliación),Ampliación,Blaberidae,Pycnoscelus surinamensis,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,1,Herbario (Ampliación),Ampliación,Linyphiidae,sp.,2,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,5,Herbario (Central),Central,Linyphiidae,sp.,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,6,Herbario (entrada),Entrada,Linyphiidae,sp.,1,19,159,20.5,48.4,48,66
mayo-diciembre/2017,1,2017,245,,Insect Monitor,7,Herbario (entrada),Entrada,Linyphiidae,sp.,1,19,159,20.5,48.4,48,66
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,2,Herbario (Ampliación),Ampliación,Pholcidae,Aymaria conica,1,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,3,Herbario (Ampliación),Ampliación,Pholcidae,Aymaria conica,7,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,1,Herbario (Ampliación),Ampliación,Formicidae,Camponotus sp,1,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,3,Herbario (Ampliación),Ampliación,Gryllidae,Gryllus sp,3,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,6,Herbario (entrada),Entrada,Gryllidae,Gryllus sp,1,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,7,Herbario (entrada),Entrada,Gryllidae,Gryllus sp,1,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,5,Herbario (Central),Central,Ptinidae,Lasioderma serricorne,5,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,2,Herbario (Ampliación),Ampliación,Pholcidae,Modisimus sp,3,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,3,Herbario (Ampliación),Ampliación,Pholcidae,Modisimus sp,1,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,1,Herbario (Ampliación),Ampliación,Oecobiidae,Oecobius concinnus,1,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,7,Herbario (entrada),Entrada,Oecobiidae,Oecobius concinnus,1,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,1,Herbario (Ampliación),Ampliación,Porcellionidae,Porcellionides pruinosus,6,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,2,Herbario (Ampliación),Ampliación,Porcellionidae,Porcellionides pruinosus,56,23,127,21.1,41.1,40,67
diciembre/2017-julio/2018,2,2018,213,,Gluee Louee ,3,Herbario (Ampliación),Ampliación,Porcellionidae,Porcellionides pruinosus,21,23,127,21.1,41.1,40,67
