fecha_puesta,fecha_recogida,periodo_monitoreo,tipo_trampa,marca_trampa,num_trampa,trampa_ID,ubicacion,orden,familia,especie,abundancia,especies_monitoreo,abundancia_monitoreo
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,3,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Hymenoptera,Formicidae,Camponotus sp.,1,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Orthoptera,Gryllidae,Gryllus sp.,2,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,60,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,5,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,1,may-dic-2017.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Linyphiidae,Linyphiidae incertae sedis,2,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,4,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Blattodea,Blattidae,Periplaneta australiasea,1,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,45,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,2,may-dic-2017.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,2,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,3,may-dic-2017.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,2,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,3,may-dic-2017.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,12,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,3,may-dic-2017.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,1,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,4,may-dic-2017.Adhesiva.suelo.Zona.central4,Zona.central,Araneae,Pholcidae,Aymaria conica,2,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,4,may-dic-2017.Adhesiva.suelo.Zona.central4,Zona.central,Isopoda,Porcellionidae,Porcellionides pruinosus,4,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Orthoptera,Gryllidae,Gryllus sp.,1,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Isopoda,Porcellionidae,Porcellionides pruinosus,5,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,5,may-dic-2017.Adhesiva.suelo.Zona.central5,Zona.central,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Pholcidae,Aymaria conica,2,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Isopoda,Porcellionidae,Porcellionides pruinosus,1,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,6,may-dic-2017.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,159
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,7,may-dic-2017.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Pholcidae,Aymaria conica,1,23,159
