meses,meses_nombre,dias_num,year,dia,Temp_entrada,Temp_ZA,Humedad_entrada,Humedad_ZA
1,Enero,2,2012,Lunes,24,NA,31,NA
1,Enero,3,2012,Martes,23,NA,33,NA
1,Enero,4,2012,Miércoles,22,NA,33,NA
1,Enero,5,2012,Jueves,22,NA,33,NA
1,Enero,6,2012,Viernes,22,NA,33,NA
1,Enero,9,2012,Lunes,22,NA,33,NA
1,Enero,10,2012,Martes,22,NA,34,NA
1,Enero,11,2012,Miércoles,22,NA,33,NA
1,Enero,12,2012,Jueves,22,NA,33,NA
1,Enero,13,2012,Viernes,22,NA,35,NA
1,Enero,16,2012,Lunes,26,NA,30,NA
1,Enero,17,2012,Martes,22,NA,32,NA
1,Enero,18,2012,Miércoles,24,NA,32,NA
1,Enero,19,2012,Jueves,26,NA,32,NA
1,Enero,20,2012,Viernes,22,NA,40,NA
1,Enero,23,2012,Lunes,26,NA,30,NA
1,Enero,24,2012,Martes,28,NA,28,NA
1,Enero,25,2012,Miércoles,27,NA,29,NA
1,Enero,26,2012,Jueves,27,NA,28,NA
1,Enero,27,2012,Viernes,24,NA,29,NA
1,Enero,30,2012,Lunes,20,NA,29,NA
1,Enero,31,2012,Martes,22,NA,31,NA
2,Febrero,1,2012,Miércoles,22,NA,31,NA
2,Febrero,2,2012,Jueves,23,NA,32,NA
2,Febrero,3,2012,Viernes,23,NA,32,NA
2,Febrero,6,2012,Lunes,24,NA,32,NA
2,Febrero,7,2012,Martes,24,NA,32,NA
2,Febrero,8,2012,Miércoles,22,NA,33,NA
2,Febrero,9,2012,Jueves,21,NA,33,NA
2,Febrero,10,2012,Viernes,25,NA,32,NA
2,Febrero,13,2012,Lunes,23,NA,33,NA
2,Febrero,14,2012,Martes,24,NA,32,NA
2,Febrero,15,2012,Miércoles,25,NA,33,NA
2,Febrero,16,2012,Jueves,22,NA,31,NA
2,Febrero,17,2012,Viernes,23,NA,33,NA
2,Febrero,20,2012,Lunes,,NA,,NA
2,Febrero,21,2012,Martes,,NA,,NA
2,Febrero,22,2012,Miércoles,23,NA,33,NA
2,Febrero,23,2012,Jueves,23,NA,33,NA
2,Febrero,24,2012,Viernes,23,NA,33,NA
2,Febrero,27,2012,Lunes,23,NA,33,NA
2,Febrero,28,2012,Martes,23,NA,33,NA
2,Febrero,29,2012,Miércoles,23,NA,33,NA
3,Marzo,1,2012,Jueves,23,NA,34,NA
3,Marzo,2,2012,Viernes,22,NA,35,NA
3,Marzo,5,2012,Lunes,22,NA,35,NA
3,Marzo,6,2012,Martes,22,NA,36,NA
3,Marzo,7,2012,Miércoles,22,NA,36,NA
3,Marzo,8,2012,Jueves,22,NA,36,NA
3,Marzo,9,2012,Viernes,24,NA,40,NA
3,Marzo,12,2012,Lunes,29,NA,29,NA
3,Marzo,13,2012,Martes,29,NA,30,NA
3,Marzo,14,2012,Miércoles,25,NA,31,NA
3,Marzo,15,2012,Jueves,23,NA,33,NA
3,Marzo,16,2012,Viernes,22,NA,33,NA
3,Marzo,19,2012,Lunes,20,NA,34,NA
3,Marzo,20,2012,Martes,20,NA,36,NA
3,Marzo,21,2012,Miércoles,22,NA,34,NA
3,Marzo,22,2012,Jueves,22,NA,34,NA
3,Marzo,23,2012,Viernes,22,NA,34,NA
3,Marzo,26,2012,Lunes,22,NA,35,NA
3,Marzo,27,2012,Martes,22,NA,35,NA
3,Marzo,28,2012,Miércoles,22,NA,36,NA
3,Marzo,29,2012,Jueves,22,NA,36,NA
3,Marzo,30,2012,Viernes,22,NA,35,NA
4,Abril,2,2012,Lunes,22,NA,35,NA
4,Abril,3,2012,Martes,22,NA,35,NA
4,Abril,4,2012,Miércoles,22,NA,35,NA
4,Abril,5,2012,Jueves,22,NA,35,NA
4,Abril,6,2012,Viernes,,NA,,NA
4,Abril,9,2012,Lunes,22,NA,35,NA
4,Abril,10,2012,Martes,22,NA,35,NA
4,Abril,11,2012,Miércoles,22,NA,35,NA
4,Abril,12,2012,Jueves,22,NA,36,NA
4,Abril,13,2012,Viernes,22,NA,36,NA
4,Abril,16,2012,Lunes,21,NA,35,NA
4,Abril,17,2012,Martes,22,NA,36,NA
4,Abril,18,2012,Miércoles,23,NA,35,NA
4,Abril,19,2012,Jueves,24,NA,34,NA
4,Abril,20,2012,Viernes,21,NA,35,NA
4,Abril,23,2012,Lunes,22,NA,36,NA
4,Abril,24,2012,Martes,23,NA,35,NA
4,Abril,25,2012,Miércoles,24,NA,34,NA
4,Abril,26,2012,Jueves,,NA,,NA
4,Abril,27,2012,Viernes,,NA,,NA
4,Abril,30,2012,Lunes,22,NA,35,NA
5,Mayo,1,2012,Martes,,NA,,NA
5,Mayo,2,2012,Miércoles,22,NA,34,NA
5,Mayo,3,2012,Jueves,22,NA,34,NA
5,Mayo,4,2012,Viernes,22,NA,34,NA
5,Mayo,7,2012,Lunes,22,NA,33,NA
5,Mayo,8,2012,Martes,22,NA,33,NA
5,Mayo,9,2012,Miércoles,22,NA,33,NA
5,Mayo,10,2012,Jueves,22,NA,33,NA
5,Mayo,11,2012,Viernes,24,NA,36,NA
5,Mayo,14,2012,Lunes,24,NA,34,NA
5,Mayo,15,2012,Martes,24,NA,33,NA
5,Mayo,16,2012,Miércoles,24,NA,33,NA
5,Mayo,17,2012,Jueves,24,NA,34,NA
5,Mayo,18,2012,Viernes,25,NA,33,NA
5,Mayo,21,2012,Lunes,22,NA,34,NA
5,Mayo,22,2012,Martes,22,NA,36,NA
5,Mayo,23,2012,Miércoles,22,NA,35,NA
5,Mayo,24,2012,Jueves,22,NA,35,NA
5,Mayo,25,2012,Viernes,22,NA,36,NA
5,Mayo,28,2012,Lunes,21,NA,35,NA
5,Mayo,29,2012,Martes,22,NA,36,NA
5,Mayo,30,2012,Miércoles,22,NA,37,NA
5,Mayo,31,2012,Jueves,26,NA,35,NA
6,Junio,1,2012,Viernes,23,NA,36,NA
6,Junio,4,2012,Lunes,22,NA,41,NA
6,Junio,5,2012,Martes,22,NA,36,NA
6,Junio,6,2012,Miércoles,22,NA,36,NA
6,Junio,7,2012,Jueves,22,NA,37,NA
6,Junio,8,2012,Viernes,22,NA,39,NA
6,Junio,11,2012,Lunes,22,NA,36,NA
6,Junio,12,2012,Martes,22,NA,38,NA
6,Junio,13,2012,Miércoles,22,NA,37,NA
6,Junio,14,2012,Jueves,22,NA,37,NA
6,Junio,15,2012,Viernes,24,NA,35,NA
6,Junio,18,2012,Lunes,23,NA,39,NA
6,Junio,19,2012,Martes,26,NA,32,NA
6,Junio,20,2012,Miércoles,27,NA,30,NA
6,Junio,21,2012,Jueves,28,NA,29,NA
6,Junio,22,2012,Viernes,28,NA,30,NA
6,Junio,25,2012,Lunes,27,NA,29,NA
6,Junio,26,2012,Martes,22,NA,36,NA
6,Junio,27,2012,Miércoles,21,NA,34,NA
6,Junio,28,2012,Jueves,23,NA,34,NA
6,Junio,29,2012,Viernes,23,NA,33,NA
7,Julio,2,2012,Lunes,23,NA,33,NA
7,Julio,3,2012,Martes,23,NA,34,NA
7,Julio,4,2012,Miércoles,23,NA,34,NA
7,Julio,5,2012,Jueves,23,NA,35,NA
7,Julio,6,2012,Viernes,23,NA,36,NA
7,Julio,9,2012,Lunes,23,NA,33,NA
7,Julio,10,2012,Martes,23,NA,33,NA
7,Julio,11,2012,Miércoles,23,NA,33,NA
7,Julio,12,2012,Jueves,23,NA,33,NA
7,Julio,13,2012,Viernes,23,NA,34,NA
7,Julio,16,2012,Lunes,23,NA,32,NA
7,Julio,17,2012,Martes,23,NA,33,NA
7,Julio,18,2012,Miércoles,23,NA,33,NA
7,Julio,19,2012,Jueves,23,NA,34,NA
7,Julio,20,2012,Viernes,23,NA,34,NA
7,Julio,23,2012,Lunes,23,NA,33,NA
7,Julio,24,2012,Martes,23,NA,34,NA
7,Julio,25,2012,Miércoles,23,NA,34,NA
7,Julio,26,2012,Jueves,23,NA,35,NA
7,Julio,27,2012,Viernes,23,NA,35,NA
7,Julio,30,2012,Lunes,23,NA,34,NA
7,Julio,31,2012,Martes,23,NA,35,NA
8,Agosto,1,2012,Miércoles,23,NA,35,NA
8,Agosto,2,2012,Jueves,23,NA,35,NA
8,Agosto,3,2012,Viernes,23,NA,35,NA
8,Agosto,6,2012,Lunes,23,NA,34,NA
8,Agosto,7,2012,Martes,23,NA,34,NA
8,Agosto,8,2012,Miércoles,23,NA,35,NA
8,Agosto,9,2012,Jueves,23,NA,36,NA
8,Agosto,10,2012,Viernes,,NA,,NA
8,Agosto,13,2012,Lunes,23,NA,35,NA
8,Agosto,14,2012,Martes,23,NA,36,NA
8,Agosto,15,2012,Miércoles,23,NA,36,NA
8,Agosto,16,2012,Jueves,23,NA,36,NA
8,Agosto,17,2012,Viernes,23,NA,36,NA
8,Agosto,20,2012,Lunes,23,NA,34,NA
8,Agosto,21,2012,Martes,23,NA,35,NA
8,Agosto,22,2012,Miércoles,23,NA,36,NA
8,Agosto,23,2012,Jueves,23,NA,36,NA
8,Agosto,24,2012,Viernes,23,NA,35,NA
8,Agosto,27,2012,Lunes,23,NA,34,NA
8,Agosto,28,2012,Martes,23,NA,35,NA
8,Agosto,29,2012,Miércoles,23,NA,34,NA
8,Agosto,30,2012,Jueves,23,NA,34,NA
8,Agosto,31,2012,Viernes,24,NA,33,NA
9,Septiembre,3,2012,Lunes,23,NA,34,NA
9,Septiembre,4,2012,Martes,23,NA,34,NA
9,Septiembre,5,2012,Miércoles,23,NA,35,NA
9,Septiembre,6,2012,Jueves,,NA,,NA
9,Septiembre,7,2012,Viernes,,NA,,NA
9,Septiembre,10,2012,Lunes,23,NA,36,NA
9,Septiembre,11,2012,Martes,23,NA,36,NA
9,Septiembre,12,2012,Miércoles,23,NA,36,NA
9,Septiembre,13,2012,Jueves,23,NA,36,NA
9,Septiembre,14,2012,Viernes,23,NA,37,NA
9,Septiembre,17,2012,Lunes,23,NA,33,NA
9,Septiembre,18,2012,Martes,23,NA,35,NA
9,Septiembre,19,2012,Miércoles,23,NA,35,NA
9,Septiembre,20,2012,Jueves,23,NA,36,NA
9,Septiembre,21,2012,Viernes,23,NA,37,NA
9,Septiembre,24,2012,Lunes,23,NA,34,NA
9,Septiembre,25,2012,Martes,23,NA,35,NA
9,Septiembre,26,2012,Miércoles,23,NA,35,NA
9,Septiembre,27,2012,Jueves,23,NA,35,NA
9,Septiembre,28,2012,Viernes,23,NA,35,NA
10,Octubre,1,2012,Lunes,23,NA,35,NA
10,Octubre,2,2012,Martes,23,NA,35,NA
10,Octubre,3,2012,Miércoles,23,NA,35,NA
10,Octubre,4,2012,Jueves,23,NA,36,NA
10,Octubre,5,2012,Viernes,23,NA,36,NA
10,Octubre,8,2012,Lunes,23,NA,35,NA
10,Octubre,9,2012,Martes,23,NA,35,NA
10,Octubre,10,2012,Miércoles,23,NA,34,NA
10,Octubre,11,2012,Jueves,23,NA,34,NA
10,Octubre,12,2012,Viernes,,NA,,NA
10,Octubre,15,2012,Lunes,23,NA,35,NA
10,Octubre,16,2012,Martes,23,NA,34,NA
10,Octubre,17,2012,Miércoles,23,NA,34,NA
10,Octubre,18,2012,Jueves,23,NA,34,NA
10,Octubre,19,2012,Viernes,,NA,,NA
10,Octubre,22,2012,Lunes,23,NA,33,NA
10,Octubre,23,2012,Martes,23,NA,34,NA
10,Octubre,24,2012,Miércoles,23,NA,34,NA
10,Octubre,25,2012,Jueves,23,NA,34,NA
10,Octubre,26,2012,Viernes,23,NA,34,NA
10,Octubre,29,2012,Lunes,23,NA,33,NA
10,Octubre,30,2012,Martes,23,NA,34,NA
10,Octubre,31,2012,Miércoles,23,NA,36,NA
11,Noviembre,1,2012,Jueves,23,NA,36,NA
11,Noviembre,2,2012,Viernes,,NA,,NA
11,Noviembre,5,2012,Lunes,23,NA,35,NA
11,Noviembre,6,2012,Martes,23,NA,35,NA
11,Noviembre,7,2012,Miércoles,23,NA,35,NA
11,Noviembre,8,2012,Jueves,23,NA,34,NA
11,Noviembre,9,2012,Viernes,23,NA,34,NA
11,Noviembre,12,2012,Lunes,23,NA,34,NA
11,Noviembre,13,2012,Martes,23,NA,35,NA
11,Noviembre,14,2012,Miércoles,23,NA,35,NA
11,Noviembre,15,2012,Jueves,23,NA,35,NA
11,Noviembre,16,2012,Viernes,23,NA,36,NA
11,Noviembre,19,2012,Lunes,23,NA,35,NA
11,Noviembre,20,2012,Martes,23,NA,35,NA
11,Noviembre,21,2012,Miércoles,23,NA,36,NA
11,Noviembre,22,2012,Jueves,23,NA,35,NA
11,Noviembre,23,2012,Viernes,23,NA,35,NA
11,Noviembre,26,2012,Lunes,23,NA,35,NA
11,Noviembre,27,2012,Martes,23,NA,35,NA
11,Noviembre,28,2012,Miércoles,23,NA,35,NA
11,Noviembre,29,2012,Jueves,23,NA,35,NA
11,Noviembre,30,2012,Viernes,23,NA,36,NA
12,Diciembre,3,2012,Lunes,23,NA,35,NA
12,Diciembre,4,2012,Martes,23,NA,35,NA
12,Diciembre,5,2012,Miércoles,23,NA,36,NA
12,Diciembre,6,2012,Jueves,23,NA,36,NA
12,Diciembre,7,2012,Viernes,23,NA,36,NA
12,Diciembre,10,2012,Lunes,23,NA,35,NA
12,Diciembre,11,2012,Martes,23,NA,36,NA
12,Diciembre,12,2012,Miércoles,23,NA,34,NA
12,Diciembre,13,2012,Jueves,23,NA,34,NA
12,Diciembre,14,2012,Viernes,23,NA,35,NA
12,Diciembre,17,2012,Lunes,26,NA,32,NA
12,Diciembre,18,2012,Martes,23,NA,34,NA
12,Diciembre,19,2012,Miércoles,23,NA,35,NA
12,Diciembre,20,2012,Jueves,23,NA,35,NA
12,Diciembre,21,2012,Viernes,23,NA,35,NA
12,Diciembre,24,2012,Lunes,23,NA,,NA
12,Diciembre,25,2012,Martes,23,NA,,NA
12,Diciembre,26,2012,Miércoles,,NA,,NA
12,Diciembre,27,2012,Jueves,,NA,,NA
12,Diciembre,28,2012,Viernes,23,NA,35,NA
12,Diciembre,31,2012,Lunes,23,NA,35,NA
1,Enero,1,2013,Martes,,NA,,NA
1,Enero,2,2013,Miércoles,,NA,,NA
1,Enero,3,2013,Jueves,23,NA,36,NA
1,Enero,4,2013,Viernes,23,NA,36,NA
1,Enero,7,2013,Lunes,23,NA,37,NA
1,Enero,8,2013,Martes,23,NA,38,NA
1,Enero,9,2013,Miércoles,26,NA,36,NA
1,Enero,10,2013,Jueves,23,NA,37,NA
1,Enero,11,2013,Viernes,26,NA,35,NA
1,Enero,14,2013,Lunes,23,NA,36,NA
1,Enero,15,2013,Martes,19,NA,36,NA
1,Enero,16,2013,Miércoles,23,NA,36,NA
1,Enero,17,2013,Jueves,20,NA,35,NA
1,Enero,18,2013,Viernes,22,NA,41,NA
1,Enero,21,2013,Lunes,23,NA,41,NA
1,Enero,22,2013,Martes,22,NA,41,NA
1,Enero,23,2013,Miércoles,22,NA,44,NA
1,Enero,24,2013,Jueves,22,NA,44,NA
1,Enero,25,2013,Viernes,23,NA,43,NA
1,Enero,28,2013,Lunes,26,NA,42,NA
1,Enero,29,2013,Martes,26,NA,42,NA
1,Enero,30,2013,Miércoles,26,NA,41,NA
1,Enero,31,2013,Jueves,26,NA,39,NA
2,Febrero,1,2013,Viernes,22,NA,35,NA
2,Febrero,4,2013,Lunes,21,NA,42,NA
2,Febrero,5,2013,Martes,27,NA,38,NA
2,Febrero,6,2013,Miércoles,23,NA,42,NA
2,Febrero,7,2013,Jueves,23,NA,47,NA
2,Febrero,8,2013,Viernes,27,NA,40,NA
2,Febrero,11,2013,Lunes,,NA,,NA
2,Febrero,12,2013,Martes,,NA,,NA
2,Febrero,13,2013,Miércoles,18,NA,40,NA
2,Febrero,14,2013,Jueves,24,NA,40,NA
2,Febrero,15,2013,Viernes,25,NA,42,NA
2,Febrero,18,2013,Lunes,21,NA,48,NA
2,Febrero,19,2013,Martes,21,NA,44,NA
2,Febrero,20,2013,Miércoles,21,NA,44,NA
2,Febrero,21,2013,Jueves,,NA,,NA
2,Febrero,22,2013,Viernes,,NA,,NA
2,Febrero,25,2013,Lunes,,NA,,NA
2,Febrero,26,2013,Martes,,NA,,NA
2,Febrero,27,2013,Miércoles,21,NA,43,NA
2,Febrero,28,2013,Jueves,21,NA,45,NA
3,Marzo,1,2013,Viernes,21,NA,45,NA
3,Marzo,4,2013,Lunes,23,NA,44,NA
3,Marzo,5,2013,Martes,24,NA,43,NA
3,Marzo,6,2013,Miércoles,24,NA,44,NA
