Fecha;Dia;Temperatura (entrada);Temperatura (zona ampliación);Humedad (entrada);Humedad (zona ampliación);;;;;;
2-Jan-12;Lunes;24;NA;31;NA;;;;;;
3-Jan-12;Martes;23;NA;33;NA;;;;;;
4-Jan-12;Miércoles;22;NA;33;NA;;;;;;
5-Jan-12;Jueves;22;NA;33;NA;;;;;;
6-Jan-12;Viernes;22;NA;33;NA;;;;;;
9-Jan-12;Lunes;22;NA;33;NA;;;;;;
10-Jan-12;Martes;22;NA;34;NA;;;;;;
11-Jan-12;Miércoles;22;NA;33;NA;;;;;;
12-Jan-12;Jueves;22;NA;33;NA;;;;;;
13-Jan-12;Viernes;22;NA;35;NA;;;;;;
16-Jan-12;Lunes;26;NA;30;NA;;;;;;
17-Jan-12;Martes;22;NA;32;NA;;;;;;
18-Jan-12;Miércoles;24;NA;32;NA;;;;;;
19-Jan-12;Jueves;26;NA;32;NA;;;;;;
20-Jan-12;Viernes;22;NA;40;NA;;;;;;
23-Jan-12;Lunes;26;NA;30;NA;;;;;;
24-Jan-12;Martes;28;NA;28;NA;;;;;;
25-Jan-12;Miércoles;27;NA;29;NA;;;;;;
26-Jan-12;Jueves;27;NA;28;NA;;;;;;
27-Jan-12;Viernes;24;NA;29;NA;;;;;;
30-Jan-12;Lunes;20;NA;29;NA;;;;;;
31-Jan-12;Martes;22;NA;31;NA;;;;;;
1-feb-12;Miércoles;22;NA;31;NA;;;;;;
2-feb-12;Jueves;23;NA;32;NA;;;;;;
3-feb-12;Viernes;23;NA;32;NA;;;;;;
6-feb-12;Lunes;24;NA;32;NA;;;;;;
7-feb-12;Martes;24;NA;32;NA;;;;;;
8-feb-12;Miércoles;22;NA;33;NA;;;;;;
9-feb-12;Jueves;21;NA;33;NA;;;;;;
10-feb-12;Viernes;25;NA;32;NA;;;;;;
13-feb-12;Lunes;23;NA;33;NA;;;;;;
14-feb-12;Martes;24;NA;32;NA;;;;;;
15-feb-12;Miércoles;25;NA;33;NA;;;;;;
16-feb-12;Jueves;22;NA;31;NA;;;;;;
17-feb-12;Viernes;23;NA;33;NA;;;;;;
20-feb-12;Lunes;;NA;;NA;;;;;;
21-feb-12;Martes;;NA;;NA;;;;;;
22-feb-12;Miércoles;23;NA;33;NA;;;;;;
23-feb-12;Jueves;23;NA;33;NA;;;;;;
24-feb-12;Viernes;23;NA;33;NA;;;;;;
27-feb-12;Lunes;23;NA;33;NA;;;;;;
28-feb-12;Martes;23;NA;33;NA;;;;;;
29-feb-12;Miércoles;23;NA;33;NA;;;;;;
1-mar-12;Jueves;23;NA;34;NA;;;;;;
2-mar-12;Viernes;22;NA;35;NA;;;;;;
5-mar-12;Lunes;22;NA;35;NA;;;;;;
6-mar-12;Martes;22;NA;36;NA;;;;;;
7-mar-12;Miércoles;22;NA;36;NA;;;;;;
8-mar-12;Jueves;22;NA;36;NA;;;;;;
9-mar-12;Viernes;24;NA;40;NA;;;;;;
12-mar-12;Lunes;29;NA;29;NA;;;;;;
13-mar-12;Martes;29;NA;30;NA;;;;;;
14-mar-12;Miércoles;25;NA;31;NA;;;;;;
15-mar-12;Jueves;23;NA;33;NA;;;;;;
16-mar-12;Viernes;22;NA;33;NA;;;;;;
19-mar-12;Lunes;20;NA;34;NA;;;;;;
20-mar-12;Martes;20;NA;36;NA;;;;;;
21-mar-12;Miércoles;22;NA;34;NA;;;;;;
22-mar-12;Jueves;22;NA;34;NA;;;;;;
23-mar-12;Viernes;22;NA;34;NA;;;;;;
26-mar-12;Lunes;22;NA;35;NA;;;;;;
27-mar-12;Martes;22;NA;35;NA;;;;;;
28-mar-12;Miércoles;22;NA;36;NA;;;;;;
29-mar-12;Jueves;22;NA;36;NA;;;;;;
30-mar-12;Viernes;22;NA;35;NA;;;;;;
2-Apr-12;Lunes;22;NA;35;NA;;;;;;
